"","CommonName","Year","TotalReportedCatch","TotalTACC","ExportCountry","TotalExportWeight","TotalTotalPrice","TotalAvgUnitPrice"
"1","Alfonsino/Beryx Fish","2018",2577418,3141700,"Australia",3663,27667,7.5550586950587
"2","Alfonsino/Beryx Fish","2018",2577418,3141700,"China",646618,5312094,8.2151450315333
"3","Alfonsino/Beryx Fish","2018",2577418,3141700,"Fiji",3310,3970,1.2
"4","Alfonsino/Beryx Fish","2018",2577418,3141700,"Japan",696408,7624688,10.9471255930432
"5","Alfonsino/Beryx Fish","2018",2577418,3141700,"Malaysia",97,958,9.88
"6","Alfonsino/Beryx Fish","2018",2577418,3141700,"Singapore",44,601,13.66
"7","Alfonsino/Beryx Fish","2018",2577418,3141700,"Taiwan",90,952,10.58
"8","Alfonsino/Beryx Fish","2018",2577418,3141700,"Thailand",27147,176051,6.48066305669135
"9","Alfonsino/Beryx Fish","2018",2577418,3141700,"United States",146,1994,13.66
"10","Alfonsino/Beryx Fish","2018",2577418,3141700,"Vietnam",21780,151320,6.95
"11","Alfonsino/Beryx Fish","2019",2379959,3141700,"Australia",39521,178111,4.50253510791731
"12","Alfonsino/Beryx Fish","2019",2379959,3141700,"Bulgaria",26,61,2.35
"13","Alfonsino/Beryx Fish","2019",2379959,3141700,"China",362843,3084518,8.49782500971495
"14","Alfonsino/Beryx Fish","2019",2379959,3141700,"Hong Kong",525,7399,14.09
"15","Alfonsino/Beryx Fish","2019",2379959,3141700,"Japan",715440,7996246,11.18108027228
"16","Alfonsino/Beryx Fish","2019",2379959,3141700,"Malaysia",366,4246,11.6006010928962
"17","Alfonsino/Beryx Fish","2019",2379959,3141700,"Singapore",11,178,16.18
"18","Alfonsino/Beryx Fish","2019",2379959,3141700,"South Korea",1000,3724,3.72
"19","Alfonsino/Beryx Fish","2019",2379959,3141700,"Taiwan",8190,54565,6.66
"20","Alfonsino/Beryx Fish","2019",2379959,3141700,"Thailand",39553,254824,6.44
"21","Alfonsino/Beryx Fish","2019",2379959,3141700,"Vietnam",183431,1885912,10.2840811531312
"22","Alfonsino/Beryx Fish","2020",2452989,3141700,"Australia",32164,50024,1.55906976744186
"23","Alfonsino/Beryx Fish","2020",2452989,3141700,"Bulgaria",749,1672,2.23
"24","Alfonsino/Beryx Fish","2020",2452989,3141700,"China",212975,1718958,8.07185256485503
"25","Alfonsino/Beryx Fish","2020",2452989,3141700,"Japan",775918,7304081,9.41658893078908
"26","Alfonsino/Beryx Fish","2020",2452989,3141700,"Malaysia",30,160,5.33
"27","Alfonsino/Beryx Fish","2020",2452989,3141700,"Singapore",20,30,1.5
"28","Alfonsino/Beryx Fish","2020",2452989,3141700,"Thailand",32720,404858,12.37
"29","Alfonsino/Beryx Fish","2020",2452989,3141700,"Ukraine",100,736,7.36
"30","Alfonsino/Beryx Fish","2020",2452989,3141700,"United States",162,2120,13.09
"31","Alfonsino/Beryx Fish","2020",2452989,3141700,"Vietnam",293325,3050136,10.3951961817097
"32","Alfonsino/Beryx Fish","2021",2118100,3141700,"Australia",18784,43997,2.34060051107325
"33","Alfonsino/Beryx Fish","2021",2118100,3141700,"Bulgaria",355,718,2.02
"34","Alfonsino/Beryx Fish","2021",2118100,3141700,"China",33631,247238,7.35
"35","Alfonsino/Beryx Fish","2021",2118100,3141700,"Japan",483595,4650051,9.61707565214694
"36","Alfonsino/Beryx Fish","2021",2118100,3141700,"Malaysia",10,70,7
"37","Alfonsino/Beryx Fish","2021",2118100,3141700,"Thailand",37030,267343,7.22
"38","Alfonsino/Beryx Fish","2021",2118100,3141700,"United States",109,837,7.68
"39","Alfonsino/Beryx Fish","2021",2118100,3141700,"Vietnam",305052,2685785,8.8045495194262
"40","Alfonsino/Beryx Fish","2022",2324832,3141700,"Australia",2721,21103,7.76
"41","Alfonsino/Beryx Fish","2022",2324832,3141700,"China",257015,2030069,7.8970434410443
"42","Alfonsino/Beryx Fish","2022",2324832,3141700,"Hong Kong",30,642,21.4
"43","Alfonsino/Beryx Fish","2022",2324832,3141700,"Japan",733319,7166445,9.77246553000809
"44","Alfonsino/Beryx Fish","2022",2324832,3141700,"Malaysia",70,101,1.44
"45","Alfonsino/Beryx Fish","2022",2324832,3141700,"Thailand",29705,133734,4.49874095270157
"46","Alfonsino/Beryx Fish","2022",2324832,3141700,"Vietnam",317778,2874012,9.04054761500167
"47","Anchovy","2018",203,560000,"Cook Islands",16,1428,89.25125
"48","Anchovy","2018",203,560000,"Palau",11,479,43.55
"49","Anchovy","2018",203,560000,"Papua New Guinea",43,1340,31.16
"50","Anchovy","2018",203,560000,"Tonga",8,236,29.5
"51","Anchovy","2018",203,560000,"Vanuatu",362,3397,9.3824861878453
"52","Anchovy","2019",3628,560000,"Cook Islands",74,2534,34.2391891891892
"53","Anchovy","2019",3628,560000,"Samoa",21,180,8.57
"54","Anchovy","2019",3628,560000,"Tonga",8,593,72.87375
"55","Anchovy","2019",3628,560000,"Vanuatu",221,4026,18.2201809954751
"56","Anchovy","2020",126,560000,"Australia",6048,71400,11.81
"57","Anchovy","2020",126,560000,"Cook Islands",17,1781,104.767058823529
"58","Anchovy","2020",126,560000,"Fiji",4,151,37.75
"59","Anchovy","2020",126,560000,"Papua New Guinea",30,339,11.3
"60","Anchovy","2020",126,560000,"Samoa",43,930,21.63
"61","Anchovy","2020",126,560000,"Vanuatu",490,1732,3.53040816326531
"62","Anchovy","2021",4879,560000,"Cook Islands",126,1041,8.26
"63","Anchovy","2021",4879,560000,"Papua New Guinea",45,333,7.4
"64","Anchovy","2021",4879,560000,"Samoa",0,0,NA
"65","Anchovy","2021",4879,560000,"Vanuatu",473,1888,3.99
"66","Anchovy","2022",33,560000,"Cook Islands",90,1680,18.6671111111111
"67","Anchovy","2022",33,560000,"Niue",2,119,59.5
"68","Anchovy","2022",33,560000,"Samoa",67,1190,17.76
"69","Anchovy","2022",33,560000,"Vanuatu",507,3461,6.82950690335306
"70","Anemones & Jellyfish",NA,0,NA,NA,NA,NA,NA
"71","Barracouta","2018",29071106,33402461,"Australia",501648,654014,1.30435151739865
"72","Barracouta","2018",29071106,33402461,"China",3068926,5558385,1.80799984098672
"73","Barracouta","2018",29071106,33402461,"Fiji",12314,11972,0.97
"74","Barracouta","2018",29071106,33402461,"Georgia",16760,31332,1.87
"75","Barracouta","2018",29071106,33402461,"Guam",9612,88678,9.23
"76","Barracouta","2018",29071106,33402461,"Hong Kong",10,77,7.7
"77","Barracouta","2018",29071106,33402461,"Ivory Coast",178840,262433,1.47
"78","Barracouta","2018",29071106,33402461,"Japan",179900,565657,3.14
"79","Barracouta","2018",29071106,33402461,"Mauritius",818053,1840429,2.25173376297135
"80","Barracouta","2018",29071106,33402461,"Papua New Guinea",871256,2854193,3.28
"81","Barracouta","2018",29071106,33402461,"Philippines",900,2926,3.25
"82","Barracouta","2018",29071106,33402461,"South Africa",8883913,17053448,1.92063784618332
"83","Barracouta","2018",29071106,33402461,"South Korea",3000,9101,3.03
"84","Barracouta","2018",29071106,33402461,"Ukraine",41,54,1.32
"85","Barracouta","2018",29071106,33402461,"Vietnam",500,1381,2.76
"86","Barracouta","2019",18418902,33402461,"Australia",327654,436978,1.33234430222125
"87","Barracouta","2019",18418902,33402461,"China",4472508,7079806,1.58698830723165
"88","Barracouta","2019",18418902,33402461,"Cook Islands",1199,5995,5
"89","Barracouta","2019",18418902,33402461,"Japan",249580,758930,3.0414424232711
"90","Barracouta","2019",18418902,33402461,"Malaysia",10,73,7.3
"91","Barracouta","2019",18418902,33402461,"Mauritius",695770,1465300,2.11033890509795
"92","Barracouta","2019",18418902,33402461,"Namibia",26990,43876,1.63
"93","Barracouta","2019",18418902,33402461,"Papua New Guinea",208030,774376,3.72
"94","Barracouta","2019",18418902,33402461,"Solomon Islands",18660,59250,3.18
"95","Barracouta","2019",18418902,33402461,"South Africa",7574904,13396275,1.76468463098674
"96","Barracouta","2019",18418902,33402461,"South Korea",18273,36673,2.01
"97","Barracouta","2019",18418902,33402461,"Ukraine",9891,25852,2.61332019007178
"98","Barracouta","2019",18418902,33402461,"Vietnam",100,335,3.35
"99","Barracouta","2020",22804391,33402461,"Australia",443384,899816,2.0281956949281
"100","Barracouta","2020",22804391,33402461,"China",3589519,8403941,2.34519533397093
"101","Barracouta","2020",22804391,33402461,"Japan",85110,275080,3.23
"102","Barracouta","2020",22804391,33402461,"Mauritius",840979,2108041,2.50535571042797
"103","Barracouta","2020",22804391,33402461,"Papua New Guinea",54960,162493,2.96
"104","Barracouta","2020",22804391,33402461,"Philippines",1000,3571,3.57
"105","Barracouta","2020",22804391,33402461,"South Africa",8034956,18099192,2.25199021873922
"106","Barracouta","2021",21397364,33402461,"Australia",454338,702586,1.54603489032394
"107","Barracouta","2021",21397364,33402461,"China",695091,1644118,2.36086231874675
"108","Barracouta","2021",21397364,33402461,"Ghana",54000,74879,1.39
"109","Barracouta","2021",21397364,33402461,"Japan",103651,359899,3.47334565030728
"110","Barracouta","2021",21397364,33402461,"Mauritius",789036,1925219,2.4421103219625
"111","Barracouta","2021",21397364,33402461,"Papua New Guinea",458720,1785315,3.89
"112","Barracouta","2021",21397364,33402461,"Philippines",500,1557,3.11
"113","Barracouta","2021",21397364,33402461,"South Africa",10454228,25680946,2.45547352229165
"114","Barracouta","2022",21740901,33402461,"Australia",211434,379907,1.79609362732578
"115","Barracouta","2022",21740901,33402461,"China",2350019,5837386,2.48139427808881
"116","Barracouta","2022",21740901,33402461,"Georgia",27000,64599,2.39
"117","Barracouta","2022",21740901,33402461,"Hong Kong",1110,32291,29.09
"118","Barracouta","2022",21740901,33402461,"Japan",50472,170483,3.37355206847361
"119","Barracouta","2022",21740901,33402461,"Malaysia",85,122,1.44
"120","Barracouta","2022",21740901,33402461,"Mauritius",887621,2581105,2.91095061969016
"121","Barracouta","2022",21740901,33402461,"Namibia",135111,221663,1.64
"122","Barracouta","2022",21740901,33402461,"Papua New Guinea",636645,2499370,3.93
"123","Barracouta","2022",21740901,33402461,"Philippines",500,2085,4.17
